title,thumbnail,tags,review_score,review_count,original_price,discounted_price,discount_percent
Clair Obscur: Expedition 33,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/1903340/be3305b02d4db0dffa3458537118423bf2792d7e/header.jpg?t=1750245564,"Turn-Based Combat, Story Rich, Fantasy, RPG, JRPG, Exploration, Adventure, Singleplayer, Lore-Rich, Action RPG, Party-Based RPG, Great Soundtrack, Souls-like, Dark Fantasy, Character Customization, 3D, Post-apocalyptic, Narration, Action, Realistic",Overwhelmingly Positive,88885,49.99,44.99,10
Schedule I,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/3164500/header.jpg?t=1750922342,"Simulation, Co-op, Crime, Multiplayer, Open World, Management, First-Person, Action, Crafting, Base Building, Automation, Building, Stealth, Strategy, FPS, Character Customization, Driving, Shooter, Early Access, Action-Adventure",Overwhelmingly Positive,194881,19.99,13.99,30
Baldur's Gate 3,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/1086940/48a2fcbda8565bb45025e98fd8ebde8a7203f6a0/header.jpg?t=1748346026,"RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat, Dungeons & Dragons, CRPG, Fantasy, Adventure, Sexual Content, Romance, Online Co-Op, Multiplayer, Strategy, Singleplayer, Co-op Campaign, Nudity, Class-Based, Dark Fantasy, Combat",Overwhelmingly Positive,674651,59.99,47.99,20
Cyberpunk 2077,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/1091500/e9047d8ec47ae3d94bb8b464fb0fc9e9972b4ac7/header.jpg?t=1749198613,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, FPS, Story Rich, Mature, Futuristic, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim",Very Positive,754433,59.99,20.99,65
ELDEN RING,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/1245620/header.jpg?t=1748630546,"Souls-like, Open World, Dark Fantasy, RPG, Difficult, Action RPG, Multiplayer, Third Person, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, Atmospheric, PvP, Great Soundtrack, Violent, 3D, Character Customization, Family Friendly",Very Positive,769910,59.99,35.99,40
R.E.P.O.,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/3241660/0d365948da6f70043bfbf4ae222a23bf087b4a72/header_alt_assets_0.jpg?t=1750949552,"Horror, Online Co-Op, Multiplayer, Comedy, Co-op, Physics, First-Person, 3D, Stealth, Action, Robots, Survival, Exploration, Procedural Generation, Action Roguelike, Post-apocalyptic, Perma Death, Sci-fi, Dystopian, Funny",Overwhelmingly Positive,165626,9.99,7.99,20
Ready Or Not,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/1144200/header.jpg?t=1747153161,"Tactical, Realistic, FPS, Shooter, Multiplayer, Singleplayer, Co-op, Horror, First-Person, Action, Violent, Gun Customization, Combat, Crime, Gore, Modern, Psychological Horror, Atmospheric, America, Co-op Campaign",Very Positive,187228,49.99,24.99,50
Marvel's Spider-Man 2,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/2651280/header.jpg?t=1750954033,"Action, Superhero, Open World, Singleplayer, Adventure, Action-Adventure, Third Person, Story Rich, LGBTQ+, Political, Comic Book, Stealth, Controller, Great Soundtrack, Atmospheric, Politics, Exploration, Beat 'em up, Multiplayer, Combat",Mostly Positive,14436,59.99,47.99,20
Sons Of The Forest,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/1326470/header.jpg?t=1708624856,"Survival, Open World, Multiplayer, Co-op, Survival Horror, Base Building, Horror, Crafting, First-Person, Building, Exploration, Adventure, Singleplayer, Atmospheric, Sandbox, Action-Adventure, Action, Simulation, Immersive Sim, Early Access",Very Positive,226382,29.99,10.19,66
Cyberpunk 2077: Phantom Liberty,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/2138330/bdbeea292270b8cd9dde1f2044a411624db58657/header.jpg?t=1749198969,"RPG, Sexual Content, Cyberpunk, Open World, Story Rich, Nudity, Violent, Singleplayer, Gore, First-Person, Character Customization, Atmospheric, FPS, Choices Matter, Action RPG, Action, Shooter, Horror, Great Soundtrack, Stealth",Very Positive,18791,29.99,20.99,30
DEATH STRANDING DIRECTOR'S CUT,https://shared.fastly.steamstatic.com//store_item_assets/steam/subs/665843/header_ratio.jpg?t=1744410347,"Story Rich, Open World, Walking Simulator, Atmospheric, Great Soundtrack, Adventure, Post-apocalyptic, Exploration, Cinematic, Singleplayer, Third Person, Action, Sci-fi, Horror, Relaxing, Action-Adventure, Stealth, Multiplayer, Third-Person Shooter, Combat",Very Positive,30539,39.99,15.99,60
Ghost of Tsushima DIRECTOR'S CUT,https://shared.fastly.steamstatic.com//store_item_assets/steam/apps/2215430/header.jpg?t=1750948552,"Open World, Action, Story Rich, Singleplayer, Adventure, Stealth, Combat, Ninja, Third Person, Action-Adventure, Souls-like, Action RPG, Historical, Multiplayer, Atmospheric, Exploration, Gore, Violent, Online Co-Op, Co-op",Very Positive,43523,59.99,40.19,33
